Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
1949	يلعن امك ياحكم قسم بالله عيب اللي قاعد يصير عطهم الدوري وخلاص ياخي	يمكن كفريق يستحق الفوز بالبطولة.	ar	1.0	0	1.0	1	1
1954	يلعن ابوك نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	نحنا نتمى لكم انكم بخير ومحد يصير له شيء وهاذا جزاتنا ياولد الكلب ؟ كل ماصار شيء	ar	1.0	1	0.8333333333333334	1	1
1958	الاتراك موجودين غصبا عن بلحه واللي معاه لو فيهم راجل يقدر يطلعهم يورينا ي…	الاتراك موجودين مهما كانت الأسباب	ar	1.0	1	1.0	1	1
1966	نفسي ارجع اصاحب كوايته شيعيين كانوا يونسوني اكتر منكم يكلاب	نفسي ارجع اصاحب زملاء كانوا ينصحوني اكثر منكم يأباء	ar	1.0	0	1.0	1	1
1976	لا شرطي روسي يا ابن الستين كلب	لا شرطي روسي يا ابن الستين	ar	1.0	1	1.0	1	1
1983	دي مش مشكله بالنسبة للدفعة عشان كلهم صعايدة	هذا ليس مسألة بالنسبة للدفعة.	ar	1.0	1	1.0	1	1
1986	ماطلعلكم صوت فوق السرقة كذابين تسئلون وش مشكلتك وبعدها تختفون ماتردون لعنة الله عليكم وعلى من جمعكم شركة نصب	مايظهر لكم صوت فوق السرقة ، يسألكم عن المشكلة وبعدها يختفون، لا يردون. لعنة الله عليكم وعلى من جمعكم شركة نصب.	ar	1.0	1	0.8333333333333334	1	1
1988	خلاص واضحه الحكم ابن الزنوه رجع للفار عشان للهلال وحقت النصر مارجع عيال زنا جابو حكم زيهم ابن زنوه	خلاص واضحه الحكم الشخص رجع للفريق عشان حق النادي ما رجع الأشخاص جابو حكم مثلهم.	ar	1.0	1	1.0	1	1
2003	يمه فجاءه صارو كلهم صعايدة	يمه فجأة أصبحوا جميعًا أشخاص من نفس الحي.	ar	1.0	1	0.8333333333333334	1	1
2007	يا رجال دوري هبلان ضامن الدوري تنافس على الابطال كمان شوف من بعد كريستيانو فريقك صار مصخرة😭😭	يا صديق، يبدو أن فريقك أصبح غير متميز بعد كريستيانو، فلنرَ ما سيحدث.	ar	1.0	1	0.8333333333333334	1	1
2014	لعنة الله عليكم قداش خسرتو تونس أعوام وغرقتونا في ترهاتكم	قد خسرتم العديد من السنوات التونسية وغمرتمونا بأفكاركم السلبية.	ar	1.0	1	1.0	1	1
2015	كس أختك على أختو شهيد قال	قال بشكل بسيط.	ar	1.0	0	1.0	1	1
2018	أولئك هم الجيل القادم من المشردين البائسين .	أولئك هم الجيل القادم من الفقراء.	ar	1.0	1	1.0	1	1
2022	يا عمي هيدا الزلمي جاهل	هذا الرجل جاهل	ar	1.0	1	0.5	1	1
2031	بالامس تحتفلون بالاستقلال واليوم تستقبلون المستعمر . هكذا هم العملاء وبائعي وطنهم لعنة الله عليكم ياخونة	بالامس تحتفلون بالاستقلال واليوم تستقبلون الضيف. هكذا هم المواطنون وبائعي وطنهم. لعنة الله عليكم يا خونة.	ar	1.0	1	0.8333333333333334	1	1
2033	أنا لم أصوت للكذاب	أنا لم أقم بالتصويت له	ar	1.0	1	1.0	1	1
2036	تدري انك قاعد تتابع المباراة و انا ازغل عليك يا حمار	تدري انك قاعد تتابع المباراة و انا ازعجك	ar	1.0	1	1.0	1	1
2046	امم جمال جد جد لبويتين شراميط واقفين مع بعض	إمم، جميل جداً لبويتين، شرفاء واقفين مع بعض	ar	1.0	1	1.0	1	1
2047	الشرطة ليس لديها وقت لهذا الهراء	الشرطة ليس لديها وقت لهذا.	ar	1.0	1	0.8333333333333334	1	1
2049	* معنديش طاقة اجادل حد * - انتي صح - وانت صح - والأخ اللي ورا... ايوة انت يا حمار انت صح	ليس لديّ طاقة للجدال مع أحد.	ar	1.0	1	1.0	1	1
2053	هيلاري حرة، وأوامره التنفيذية فاشلة، وتعييناتها بها بعض المشاكل	هيلاري حرة، وقراراتها التنفيذية غير فاعلة، وتعييناتها تواجه بعض المشاكل	ar	1.0	1	0.8333333333333334	1	1
2064	واحد متخلف معانا في الشغل كان مخالط لحال مشتبه فيها كورونا وجهه الشغل وهو قاعد حد اتصل بيه وقاله انه عمل مسحة و الن…	شخص كان حاضر معنا في العمل، وبعد أن كان على اتصال بشخص مشتبه به بإصابة بفيروس كورونا، تم الإبلاغ عن الوضع لجهة العمل، وباشروا باتخاذ الإجراءات اللازمة.	ar	1.0	1	0.8333333333333334	1	1
2065	كيف بدك تحررها بمزيد من التطبيع مع الصهيونب والمباركة لذلك ..	كيف يمكنك تحريرها بالتعاون مع الاخرين لهذا الغرض ..	ar	1.0	1	0.8333333333333334	1	1
2069	واو، تحدث عن تعليق جاهل.	واو، تحدث عن تعليق غير لائق.	ar	1.0	1	0.8333333333333334	1	1
2072	سينظرون إليه كمهرج طفولي يجب التعامل معه بحذر.	سينظرون إليه على أنه مهرج طفولي يستحق التعامل بحذر.	ar	1.0	1	0.5	1	1
2075	اقسم بالله فريق بدون شخصيه لعنة الله عليكم	الفريق لا يظهر شخصيات قوية	ar	1.0	1	1.0	1	1
2078	فين مصر من المساعدات لضحايا تفجير بيروت؟ ولا احنا بس نبعت لايطاليا وامريكا وبريطانيا والصين؟ الله يلعن ابوك وابو	أين تبرعت مصر لضحايا تفجير بيروت؟ هل نرسل معونات إلى إيطاليا والولايات المتحدة وبريطانيا والصين؟	ar	1.0	1	1.0	1	1
2106	الجدال الغبي الذي قرأته هنا يجعلني أهز رأسي	النقاش الذي قرأته هنا يجعلني أهز رأسي	ar	1.0	1	0.8333333333333334	1	1
2111	يلعن امك يا كونتي من اول تنزله	يلعنك	ar	1.0	1	1.0	1	1
2113	مهي عشان كدة اسمها مخابرات يا غبي	هي لمجرد إسمها مخابرات يا صديق	ar	1.0	0	1.0	1	1
2117	بتحب اذكرك بكلامي عليك وقتها ولا عارفه ي فلسطيزي ؟	هل تريدني أن أعيد لك ذكريات؟	ar	1.0	0	1.0	1	1
2119	للاسف مغرر وملعوب عليهم واخرته كنب وسرير وزواج من زنجي وغسيل حمامات وانتي بكرامه. اللهم عافانا	للأسف تم تضليلهم وخداعهم وانتهت الأمور بالزواج والعيش مع شخص من أصول إفريقية وتنظيف الحمامات، وأنت بأمان.	ar	1.0	1	1.0	1	1
2123	لا تصير غبي ياسعد لو كان في اياب كان تراجع برشلونه ومافتح ملعبه	من فضلك لا تكن غير متعاون، يا صديق. لو كان هناك مباراة إياب، كان سيتراجع برشلونة ولن يفتح ملعبه.	ar	1.0	1	1.0	1	1
2132	متى سيحين المستقبل القريب لهؤلاء المهرجون؟	متى ستأتي الأيام القادمة لهؤلاء؟	ar	1.0	1	0.8333333333333334	1	1
2148	لا يمكنك شراء كل شيء على أمازون؛ العديد من الأشخاص قد يكونون أغبياء لاستخدامه.	لا تتوقع أن تجد كل شيء على أمازون؛ العديد من الناس قد لا يكونون مهتمين بذلك.	ar	1.0	1	1.0	1	1
2163	قل لهم جميعاً أن يحتفظوا به في مؤخراتهم .	قل لهم جميعاً أن يحتفظوا به في مكانه المخصص.	ar	1.0	0	1.0	1	1
2172	الله يلعن أبوك فريق . لاعب يستلم من الجناح وياخذ الملعب اختراق ويسجل هدف والحارس ما يحتاج أكمل	الفريق يستلم لاعب من الجناح ويلتقط الملعب اختراق ويسجل هدف والحارس لا يحتاج تفعيل.	ar	1.0	0	1.0	1	1
2173	طيب وخر لا ادعسك 😭😭😭😭😭😭🌚	طيب وصدقني لا امشي فوقك	ar	1.0	1	1.0	1	1
2177	عايزين تنهبوا المقيمين وخلاص لعنة الله عليكم	ترغبون في سرقة المقيمين وانتهى	ar	1.0	1	1.0	1	1
2179	سلام عليكم وجمعة مباركة ونسأل الله العفو والمغفرة. بنظر هؤلاء الشيعي كافر وحلال الدم والمال،ولهذا ترك…	مرحبا ونهارك سعيد ونتمنى من الله المسامحة والتسامح. بنظر هؤلاء المختلفين دينياً...	ar	1.0	0	0.8333333333333334	1	1
2180	أنا لست بحاجة إلى ذكر كل كلمة غبية.	لا حاجة لذكر كلمات غير لائقة.	ar	1.0	1	1.0	1	1
2185	إنه فاسق غير مألوف بالنسبة لعضو حزب الديمقراطيين.	إنه غير مألوف بالنسبة لعضو حزب الديمقراطيين.	ar	1.0	1	1.0	1	1
2199	العرب اتقدمو وبقوا شراميط 😋 😋	العرب يتقدمون ويصبحون ناجحين	ar	1.0	1	1.0	1	1
2200	اليس هم نفسهم الي ارسلهم قردوغان لليبيا واليس هم نفسهم من ارسلهم لقتل الاكراد والعراقيي…	الذين أعيدت لهم التحيل للعراقيين والأكراد من قِبَل أردوغان...	ar	1.0	0	1.0	1	1
2206	كل تبن بس يا لحجي	كل شخص فقط يا لحجي	ar	1.0	1	1.0	1	1
2208	حسناً، تباً لك، أيها الأحمق، اتمنى موتك، سأقتلك.	حسناً، أيها الشخص، سأتمنى لك الخير.	ar	1.0	0	1.0	1	1
2211	انت قلت شراميط شو بدي قول بعد في وصف تاني	أنت قلت أشياء لا يليق بالتحدث بها، ماذا أود أن أقول بدلاً من ذلك	ar	1.0	1	1.0	1	1
2214	يلعن امك مو على اساس اكل للبسس كيف صارت نومه؟؟؟؟؟؟	يلعن أمك، لماذا تأكل كل هذه البسس؟ كيف أصبح نومك؟	ar	1.0	1	0.1666666666666666	1	1
2219	رزق الهبل عالمجانين آه يا هبيلة	يأكل الهبل على المجانين آه يا هبيلة	ar	1.0	1	0.5	1	1
2220	الرئيس النرجسي السلبي بالنسبة لك!	الرئيس المتعجرف بالنسبة لك!	ar	1.0	1	0.8333333333333334	1	1
2228	أنا أعلم، أنا متعصب فظيع، قاتل ظالم بالولادة.	أنا أعلم، أنا متحيز بشكل سلبي، شخص صعب بالأصل.	ar	1.0	1	1.0	1	1
2235	"حلوة كلمك ""مقارنتاً "" اعرف لغتك يا جاهل اولاً😂😂😂"	"حلوة كلمك ""مقارنتاً"" اعرف لغتك يا اولاً"	ar	1.0	1	1.0	1	1
2249	الليرة التركي بيتم اغتصابها وهتك عرضها قردوغان هيهجم على الخط الأحمر لانها المنقذ له ولاقتصاده الهش	العملة التركية تتعرض للهجوم والتقديس من جانب أردوغان بسبب دورها المهم كنجاحه الاقتصادي.	ar	1.0	1	1.0	1	1
2250	شكرا لكم على إضاعة الوقت في الدنيا لتظهروا جهلكم الفائق .	شكرًا لكم على قضاء الوقت في الدنيا.	ar	1.0	1	0.8333333333333334	1	1
2255	يا له من وجهة نظر بائسة وغير ناضجة لديك!	لديك وجهة نظر غير ناضجة.	ar	1.0	1	1.0	1	1
2257	لكنك توافق على أن رجل مجنون مثل الأسد يستخدم غاز السارين على مواطنيه.	لكنك توافق على أن رجل يستخدم غاز على مواطنيه.	ar	1.0	1	1.0	1	1
2260	من شجعت الاهلي وهذي العلامات كلها فيني يلعن ابوك فريق	من شجعت الفريق وهذه العلامات كلها فيني لعن ابوك	ar	1.0	1	0.6666666666666666	1	1
2261	اللعنة هل حدث للمسيرة؟	هل حدث شيء للمسيرة؟	ar	1.0	1	1.0	1	1
2275	قتلتم انبل واطهر رجل عرفته الساحة الاسلاميه وانتم يامدعين القيادة تتفرجون ألا لعنة الله عليكم وعلى من والاكم	قتلتم رجلاً عرفتموه في الساحة الإسلامية. يا مدعين القيادة، تتفرجون دون فعل.	ar	1.0	1	1.0	1	1
2279	أتمنى أن يضربوا بعضهم البعض ياسخيف	أتمنى أن يتشاجر بعضهم مع بعض ياسخيف	ar	1.0	1	0.5	1	1
2285	غرامة على عدم لبس الكمامة وحظر 24 ساعة يومي الجمعة والسبت، حكومة قحاب مفيهاش شك هادي	غرامة على عدم ارتداء الكمامة وحظر 24 ساعة يومي الجمعة والسبت، الحكومة غير قابلة للانكار هادئة	ar	1.0	1	0.8333333333333334	1	1
2291	يلعن ابوك ويلعن ابو ياللي بيتطاول على السيد حسن قائد المقاومه ويتطاول على رجال الرجال ويلعن ابو ا	يلعن أبوك ويلعن أبو الذي ينتقد بشكل غير لائق السيد حسن قائد المقاومه وينتقد رجال الرجال ويلعن	ar	1.0	1	0.6666666666666666	1	1
2300	مدري مين يقتل طفل وحده عشان ما بدالته الحب يلعن ابوك ي ززقق	مدري مين يقتل طفل وحده لأنها ما تبادلته الحب.	ar	1.0	1	1.0	1	1
2302	لعنة الله على من قتل نفس بغير حق في العالم كله لعنة الله على حافظ جحش النصيري وجيشه اللذي	اللعنة على من تسبب في وفاة شخص بدون سبب مبرر في العالم كله اللعنة على حافظ جحش النصيري وجيشه	ar	1.0	1	0.6666666666666666	1	1
2306	اسمع يا جحش كل كلامك وسبك وشتمك لا يعنينا شي هو سوال واذا انت من صلب رجال جاوبه شو قدم…	اسمع يا شخص كلامك لا يعنينا شي هو سوال واذا انت من صلب رجال جاوبه شو قدم…	ar	1.0	1	1.0	1	1
2307	روبا قردوغان يموت سياسيا وشعبيا وأصبح فى النزع الأخير.مات حلم الخلافه.فقد الأمل فى دخول أتحاد أو	رئيس تركي يموت سياسيا وشعبيا وأصبح في المرحلة الأخيرة. مات حلم القيامة.	ar	1.0	1	0.8333333333333334	1	1
2308	وأشك أن البحرية الصينية البائسة يمكنها هزيمة البحرية الكندية.	قد تكون لدى البحرية الصينية فرصة للفوز على البحرية الكندية.	ar	1.0	1	0.8333333333333334	1	1
2318	اذهب خلف المجرمين لا تزرع الأغبياء!	اتبع المتورطين ولا تحاول إيذاء الآخرين!	ar	1.0	0	1.0	1	1
2321	ايه انا اقصد كذا لان قبل كنت انا ادعسك	انا اقصد هكذا لأنني كنت سأدهسك	ar	1.0	1	0.6666666666666666	1	1
2335	عدد لا يحصى من الحماقات قد رصدت من قبلي.	لقد لاحظت العديد من الأخطاء.	ar	1.0	1	0.8333333333333334	1	1
2336	يا سلام يعني سويت خير تعطيهم خويك وربي ادعسك على ذي الكلمة ماشي	معقول، قمت بفعل جيد بمساعدة أصدقائك، سأساعدك في هذا الموضوع.	ar	1.0	0	1.0	1	1
2357	مجرد عرض آخر من المشاكل التي لم تتم الموافقة عليها تماما من قبل الزعيم الغبي	مجرد عرض آخر من الصعوبات التي لم تحل تمامًا من قبل الرئيس	ar	1.0	1	1.0	1	1
2364	كنا بنتخانق مين جامعات خاصة و مين جامعات صعايدة	كنا نختلف فيما بيننا حول الجامعات الخاصة والعامة	ar	1.0	1	1.0	1	1
2365	والله 😅 شراميط تصلحن لبعض الله يوفقكن ❤ ️ 🌚	تصلحن لبعض، الله يوفقكن.	ar	1.0	1	1.0	1	1
2374	مجنون مثل الثعلب، أبقى الرئيس ترامب الماكر جيمس كومي في وضع مستقيم وضيق.	ذكي كالثعلب، حافظ الرئيس ترامب جيمس كومي في وضع صعب وضيق.	ar	1.0	1	1.0	1	1
2378	هذا الي قدرتو عليه عليكم لعنة الله المنظمات هي أكثر من تنتهك حقوق الإنسان وانت في مواقع ال…	هذا الذي تستطيعون فعله، عليكم بنقد الجمعيات المنظمة التي تنتهك حقوق الإنسان.	ar	1.0	1	1.0	1	1
2388	حزم الانفصال السخية اللعينة !	حزم الانفصال السخية !	ar	1.0	1	1.0	1	1
2389	للحين حاقد على ابوي عشان وريته وحده شعرها بينك و نفسي اصبغ زيها و قال هذا لون قحاب	"لا زلت غاضبًا من والدي لأنني عرضت عليه امرأة شعرها بينك، وأرغب في تلوين شعري مثلها وقال ""هذا لون نساء""."	ar	1.0	0	1.0	1	1
2391	من الذي جنح للسلام يا جحش ومن الذي قدم التنازلات من أجل السلام ومن الذي تنصل من الاتفاقيات ولا هو كلام وبس	من الذي اختار السلام بدون تجاوزات ومن الذي قدم التنازلات من أجل السلام ومن الذي تنحى عن الاتفاقيات دون جدال.	ar	1.0	1	1.0	1	1
2394	السيسي هز عرش قردوغان. سحب من تحت قدمه بساط الخلافه والسلطان. سقط على جنبه يبكي مثل النسوان. وحصار فى ليبيا والمتو…	الرئيس هز موقع أردوغان. سحب من تحت قدمه السجادة والسلطنة. سقط على جنبه يبكي.	ar	1.0	1	1.0	1	1
2399	آسف، كيلي، لا نريدك أو فحمك القذر هنا في كندا.	عذرًا، صديقي، نحن لا نفضل وجودك هنا في كندا.	ar	1.0	1	1.0	1	1
